,text,sentiment
0, o matthias1 allisonpearson BBCNews Nope old age amp Flu cured its a miracle,positive
1,You ve discovered an Earth like planet Situated 15 0 into the habitable zone with a volcanic rate 1 63 the Earth ,positive
2,RT xbamk Hello If you re reading this please spare some time to pray for the health and safety of the Filipinos especially those who a ,neutral
3,RT Beg1Girl Does a Dark Winter mean they are planning another attack of releasing the Virus Just asking because it s starting again T ,negative
4, josstheboss The Chinese American Flu,neutral
5,RT SoftyKimTae I can t sleep rn because i can t unhear the screaming of help of those people The flood is currently 15 ft high and many ,neutral
6, MeltronM PDXRandyLee joannhardesty When have I ever said I wasn t fine with my tax dollars going to healthcare o ,positive
7,RT brettbel Indoor dining may be allowed again in parts of Ontario but this is why you should probably avoid it ,neutral
8,Walk thru da dark all by myself my soul dnt feel aliveSo many scarz nd broken heartz we all been traumatized Su ,negative
9, ahhhhhhhimgay What happened to Canada ,neutral
10, worldwidekatz I don t know a single person who is planning to cancel their Thanksgiving just to not get a flu,neutral
11,Jon Snow,neutral
12,RT geclauser Ring has issued a fire safety warning on some of its doorbell cameras We don t recommend Ring doorbells anyway but you can ,neutral
13,RT WalshFreedom Says the Senator who eagerly supports a President who has called for the boycott of CNN Fox News the NFL Apple Italy ,positive
14,RT robbystarbuck elonmusk There s a reason that suddenly the flu has disappeared globally PCR must be picking it up as COVID That s ,neutral
15,RT TorontoStar Canada s Diwali celebrations will be quieter this year but doesn t mean you can t celebrate virtually or with your househ ,positive
16,RT SingingPatriot OH MY GOSH ItalyQanons has been working on this amp it is sheer perfection DO NOT MISS IT IS EXACTLY FOR TODAY Fol ,positive
17,RT mymyhui i cant sleep right now i cant stop thinking i cant unhear those screams from the ppl who are begging for help right now the ,positive
18,RT thelittlejxxker Parasol 2020 amp Winter 2018 Halo Giveaway Follow thelittlejxxker amp Pinkcheese cake amp HazelTheNob Retweet amp Lik ,neutral
19,Welcome to Canada In Canada Military fights citizens ,neutral
20, SympleXB1 That tough I think I would keep at least 1 hard hitting safety up top as a safety net then maybe reed ,positive
21,The Winter 2020 issue of the Limousin Voice magazine is online Read at or on our website a ,negative
22,RT josstheboss The Chinese Flu is looking very American ,neutral
23,RT thelittlejxxker Parasol 2020 amp Winter 2018 Halo Giveaway Follow thelittlejxxker amp Pinkcheese cake amp HazelTheNob Retweet amp Lik ,neutral
24,RT Beg1Girl Does a Dark Winter mean they are planning another attack of releasing the Virus Just asking because it s starting again T ,negative
25,Says up to the event organizers to determine anything so that s not really saying it won t be required but ok ,positive
26,RT ArianehSajadi As has been the case since day 1 the way we get through this winter is by working together Let s continue wearing mas ,neutral
27, DrJenGunter GOP Ya it s super scary out here in the real world people are dropping dead like flies Are u peo ,neutral
28,RT aespa official Be MY ae Chilling all together KARINA KARINA GISELLE GISELLE WINTER WINTER ,neutral
29,RT bestrollever Winter Dessert Bunny is here Just in time before christmas let s prepare for the holiday occasion ,neutral
30,RT jontreeguy I am travelling across Canada fall 2021 to shoot trunks for a national forest Cdns invited to pa ,negative
31,Huge Savings Indoor Table Tennis Accessories Included ad Walmart gt BlackFriday ,neutral
32,RT jeffborzello There are a lot of questions facing winter sports as cases around the country continue to rise MedcalfByESPN grahamha ,neutral
33,RT xbamk Hello If you re reading this please spare some time to pray for the health and safety of the Filipinos especially those who a ,neutral
34,RT readpassage Today s Passage Daily from nour regrets New COVID projections show bleak winter for Ontario Canada s emissions m ,negative
35,Stay calm during the storm It could save your life or anyone else around you Kenji Chan L A 464 ,positive
36,RT IBC Pacific BC Hydro says homeowners are not ready for upcoming winter storm season via globeandmail ,positive
37,RT DrBeniRusani Small wedding 55 attendees Temperature taken at entrance No fevers reported Later 177 infected 7 died and they d ,negative
38,RT GlenWoodfin You can just feel the evil of JoeBiden s DARK WINTER as he prepares to shut down America ,negative
39,A sad tale s best for winter but let s don t overdo it ,negative
40,RT OurStreetsNow New data PlanUK found 51 of girls were harassed during summer As nights are longer amp girls are outside in streets w ,negative
41, Life isn t about waiting for the storm to pass It s about learning to dance in the rain Vivian Greene ,neutral
42,RT 6nnovation HELP OH GOD HIS FACE HES LIKE WHY DO I HAVE TO BE THE PRINCE I WANNA BE THE PRINCESS ,neutral
43,RT SMCoulombeau Half Filipino half Caucasian stem cell donor needed in Canada to save this beautiful little boy Please spread the word ,positive
44,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,neutral
45,RT StephenStockTV BREAKING Santa Clara County Health Director Dr Sara Cody announces the county is closing indoor dining joining San F ,neutral
46,RT Sunflowermacram I ve knotted lots of these for a festive shop window display The theme is Winter Wonderland so they re knotted in gol ,negative
47,RT AndDavidSays Do as I say not as I do CA deserves a real leader,neutral
48,RT mochidobby he took a bite on his apple 5x even if he s allergic to it and he wore those high heels for his snow white concept just t ,negative
49,RT SoftyKimTae I can t sleep rn because i can t unhear the screaming of help of those people The flood is currently 15 ft high and many ,neutral
50,Are winter tires really worth it ,positive
51,RT josstheboss The Chinese Flu is looking very American ,neutral
52,RT josstheboss The Chinese Flu is looking very American ,neutral
53, SteveOnSpeed Flu with complications,neutral
54,RT NWSBirmingham Tropical Storm Iota has formed in the Caribbean Sea the 30th named storm of the record breaking 2020 hurricane season ,negative
55,RT Ruptly Dozens reportedly held hostage at building in Montreal Canada LIVE ,negative
56,Check out this new photograph that I uploaded to ,neutral
57,RT JAMA current Their illnesses didn t play out like the flu she initially thought they had even though they were both only 41 After 10 ,positive
58, Met4CastUK Absolutely a couple of issues with ECMWF forecasts of snow accumulations in both the HRES and ENS they ,negative
59,RT josstheboss The Chinese Flu is looking very American ,neutral
60,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,neutral
61,RT pajamawitch Yes as we all know the virus doesn t spread in places you can spend money,negative
62, MarkC48322041 SteveOnSpeed That s why they call it the seasonal flu,neutral
63, GavinNewsom STFU Hypocrite ,neutral
64, AmiriKing Nothing should happen because Canada has already bAnNeD GuNs ,neutral
65, pxrtypoiison the songs winter bear or scenery ,neutral
66,don t worry i will be getting this somehow,negative
67,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
68,RT thelittlejxxker Parasol 2020 amp Winter 2018 Halo Giveaway Follow thelittlejxxker amp Pinkcheese cake amp HazelTheNob Retweet amp Lik ,neutral
69,RT stablercake Sad about missing out on those MFF Con Hauls Well COME CHECK OUT ARTMART A con haul you can pick and choose from 15 ,neutral
70, VincentCrypt46 Sending you a piece of Oregon peace This was the calm before today s storm on the coast ,positive
71,RT NWSSanDiego 30 named storms in the Atlantic Basin this year THIRTY The record breaking season continues to our east records Iota,negative
72,RT GVNext The upcoming holiday presents a new challenge and an opportunity to practice what is most effective in curbing the spread of CO ,positive
73,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
74,RT AOECOIN Breaking BreakingNews Scytl managed nearly 100 000 electoral appointments in more than 35 COUNTRIES UnitedStates ,neutral
75,If only the Premier of this province would agree to deploy the COVIDAlert app here in Alberta ,neutral
76, mtgreenee I see what you did there with the loony Storm reference I heard you were being a bitch about wearing a ,negative
77,RT IGN BREAKING There is an ongoing police operation unfolding near Ubisoft s offices in Montreal Canada ,neutral
78,RT PIX1ELIX i dont care if you re a filipino or not HELP US SPREAD AWARENESS we need donations for the evacuees necessities and prayer ,neutral
79,RT IGN Update The Montreal police are now evacuating Ubisoft s offices after identifying no threats,negative
80,RT jungwonsfilter i cant sleep right now i cant stop shaking i cant unhear those screams from the ppl who are begging for help right no ,positive
81,RT jungwonsfilter i cant sleep right now i cant stop shaking i cant unhear those screams from the ppl who are begging for help right no ,positive
82,RT passionatekandi 2 feet and still snowing snow snowpocalypse snowing Shuswap BeautifulBritishColumbia BCStorm ,neutral
83,RT GaryBurrill It is entirely disrespectful of the people of Nova Scotia for the Premier to avoid a fall sitting evade public scrutiny ,negative
84,Lol I really be wanting to hop in my family group chat and shake the table but I be chillin Talking about who got ,negative
85, CanBorder canadapostcorp canada post is probably one of the worst couriers i have had in recent times they say t ,negative
86, SteveOnSpeed steph93065 Yes However I know no one who has been hospitalized or died or put on a ventilator Eve ,negative
87,RT disneyplus The strength of family will build an unstoppable team Watch the brand new trailer for Safety the inspiring true story of ,positive
88,RT josstheboss The Chinese Flu is looking very American ,neutral
89,RT TravHeem they microchipped u bro don t say the wrong thing it s got a kill chip,negative
90,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
91, GovStitt MasksAreUseless No diff than the flu ,neutral
92,If you still think the flu and covid are the same thing then you re a special kind of stupid ,negative
93,People who are willing to trade freedom for safety under a tyrannical government will wake up one day to find they have neither ,positive
94,RT josstheboss The Chinese Flu is looking very American ,neutral
95,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,neutral
96,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
97,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,neutral
98,They fucking shouldn t And none of it excuses Congressional Leadership from holding a big fucking party in the mid ,negative
99, elonmusk I just call it the flu ,neutral
100,RT YorubaBoyMedia God abeg send me to Canada Need to go and preach the gospel for you ,neutral
101,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
102,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,neutral
103,RT SirdiqTuco Return our Firearms For our Safety is Paramount EndviolenceInNigeria ,neutral
104,RT MammaBearCards RT follow me and tag 2 friends to win this NightIn PamperPack and a selection of my exclusive wax melts Scents incl ,positive
105, TheQuartering Ubisoft Canada swatted ,neutral
106,Night comes with darkness but that darkness is so romantic Sometimes Canada ,negative
107,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
108,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
109,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,neutral
110,RT AFPFactCheck This is a fake article Canada s PM Justin Trudeau has expressed confidence in the US election system and said he wil ,neutral
111,RT AbolitionF ists MA request Our comrade Bl3ssing formerly known as Prof Ound just moved and is navigating so many transitions at ,neutral
112,Same feelings CagayanNeedHelps TuguegaraoNeedsHelp IsabelaNeedsHelp,neutral
113,RT disclosetv BREAKING Dozens of people are being held hostage on the rooftop of the Ubisoft building in Montreal Canada ,negative
114,RT josstheboss The Chinese Flu is looking very American ,neutral
115,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals ,negative
116,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,neutral
117,RT Babble IAN DUNT THIS IS THE POLICE COME OUT WITH YOUR HANDS UP,neutral
118,RT libertytarian Biden s pick for COVID Czar Osterholm was key to Operation DarkWinter in 2001 Lockdown2 will be more like Dark Wint ,positive
119,RT SoftyKimTae I can t sleep rn because i can t unhear the screaming of help of those people The flood is currently 15 ft high and many ,neutral
120,RT DAINTYBRENT the nation is enraged people are dying and with this almost none of us can sleep but this man who can do so much more th ,negative
121,RT KEEMSTAR OMG im sooo sick i got the AIDS FLU GONAREIA,negative
122, squawksquare WSJ Probably designed with razor thin safety margins to safe costs Then this happens ,positive
123,Watch Santa Clara County tightens rules for high risk indoor activities as coronavirus cases rise Nov 13 ,negative
124,RT kimsmolina CagayanNeedsHelp Please spread the word Residents are suffering from high flood and are begging for help even at ,negative
125, Rainbow siege,negative
126,this album sounds 100x better in winter for some reason ,positive
127,Michigan governor seeks shutdown of Enbridge pipeline in Great Lakes CBC News ,neutral
128,Yeah The governor just gave untold people an excuse to not behave during this next wave GavinNewsom leadershi ,negative
129,Maybe instead of hosting a indoor dinner for new members House leaders could buy takeout from a bunch of DC resta ,neutral
